dataset,type,perspective,src_img,src_state,tgt_img,tgt_state,action
CALVIN,robot,1st,images/ep_13956/frame_836936.png,states/ep_13956/state_836936.npy,images/ep_13956/frame_836941.png,states/ep_13956/state_836941.npy,actions/ep_13956/action_836936to836940.npy
CALVIN,robot,1st,images/ep_2511/frame_151512.png,states/ep_2511/state_151512.npy,images/ep_2511/frame_151517.png,states/ep_2511/state_151517.npy,actions/ep_2511/action_151512to151516.npy
CALVIN,robot,1st,images/ep_11923/frame_713894.png,states/ep_11923/state_713894.npy,images/ep_11923/frame_713899.png,states/ep_11923/state_713899.npy,actions/ep_11923/action_713894to713898.npy
CALVIN,robot,1st,images/ep_9955/frame_596958.png,states/ep_9955/state_596958.npy,images/ep_9955/frame_596963.png,states/ep_9955/state_596963.npy,actions/ep_9955/action_596958to596962.npy
CALVIN,robot,1st,images/ep_8762/frame_525648.png,states/ep_8762/state_525648.npy,images/ep_8762/frame_525653.png,states/ep_8762/state_525653.npy,actions/ep_8762/action_525648to525652.npy
CALVIN,robot,1st,images/ep_14149/frame_848481.png,states/ep_14149/state_848481.npy,images/ep_14149/frame_848486.png,states/ep_14149/state_848486.npy,actions/ep_14149/action_848481to848485.npy
CALVIN,robot,1st,images/ep_12533/frame_751431.png,states/ep_12533/state_751431.npy,images/ep_12533/frame_751436.png,states/ep_12533/state_751436.npy,actions/ep_12533/action_751431to751435.npy
CALVIN,robot,1st,images/ep_3790/frame_229311.png,states/ep_3790/state_229311.npy,images/ep_3790/frame_229316.png,states/ep_3790/state_229316.npy,actions/ep_3790/action_229311to229315.npy
CALVIN,robot,1st,images/ep_17278/frame_1036220.png,states/ep_17278/state_1036220.npy,images/ep_17278/frame_1036225.png,states/ep_17278/state_1036225.npy,actions/ep_17278/action_1036220to1036224.npy
CALVIN,robot,1st,images/ep_14273/frame_855919.png,states/ep_14273/state_855919.npy,images/ep_14273/frame_855924.png,states/ep_14273/state_855924.npy,actions/ep_14273/action_855919to855923.npy
CALVIN,robot,1st,images/ep_3298/frame_199187.png,states/ep_3298/state_199187.npy,images/ep_3298/frame_199192.png,states/ep_3298/state_199192.npy,actions/ep_3298/action_199187to199191.npy
CALVIN,robot,1st,images/ep_7566/frame_455401.png,states/ep_7566/state_455401.npy,images/ep_7566/frame_455406.png,states/ep_7566/state_455406.npy,actions/ep_7566/action_455401to455405.npy
CALVIN,robot,1st,images/ep_7749/frame_466209.png,states/ep_7749/state_466209.npy,images/ep_7749/frame_466214.png,states/ep_7749/state_466214.npy,actions/ep_7749/action_466209to466213.npy
CALVIN,robot,1st,images/ep_4387/frame_265144.png,states/ep_4387/state_265144.npy,images/ep_4387/frame_265149.png,states/ep_4387/state_265149.npy,actions/ep_4387/action_265144to265148.npy
CALVIN,robot,1st,images/ep_16510/frame_989683.png,states/ep_16510/state_989683.npy,images/ep_16510/frame_989688.png,states/ep_16510/state_989688.npy,actions/ep_16510/action_989683to989687.npy
CALVIN,robot,1st,images/ep_3571/frame_215994.png,states/ep_3571/state_215994.npy,images/ep_3571/frame_215999.png,states/ep_3571/state_215999.npy,actions/ep_3571/action_215994to215998.npy
CALVIN,robot,1st,images/ep_5661/frame_339221.png,states/ep_5661/state_339221.npy,images/ep_5661/frame_339226.png,states/ep_5661/state_339226.npy,actions/ep_5661/action_339221to339225.npy
CALVIN,robot,1st,images/ep_9757/frame_585501.png,states/ep_9757/state_585501.npy,images/ep_9757/frame_585506.png,states/ep_9757/state_585506.npy,actions/ep_9757/action_585501to585505.npy
CALVIN,robot,1st,images/ep_3092/frame_186998.png,states/ep_3092/state_186998.npy,images/ep_3092/frame_187003.png,states/ep_3092/state_187003.npy,actions/ep_3092/action_186998to187002.npy
CALVIN,robot,1st,images/ep_16375/frame_981466.png,states/ep_16375/state_981466.npy,images/ep_16375/frame_981471.png,states/ep_16375/state_981471.npy,actions/ep_16375/action_981466to981470.npy
CALVIN,robot,1st,images/ep_10011/frame_600300.png,states/ep_10011/state_600300.npy,images/ep_10011/frame_600305.png,states/ep_10011/state_600305.npy,actions/ep_10011/action_600300to600304.npy
CALVIN,robot,1st,images/ep_13868/frame_831574.png,states/ep_13868/state_831574.npy,images/ep_13868/frame_831579.png,states/ep_13868/state_831579.npy,actions/ep_13868/action_831574to831578.npy
CALVIN,robot,1st,images/ep_15226/frame_913101.png,states/ep_15226/state_913101.npy,images/ep_15226/frame_913106.png,states/ep_15226/state_913106.npy,actions/ep_15226/action_913101to913105.npy
CALVIN,robot,1st,images/ep_17661/frame_1059223.png,states/ep_17661/state_1059223.npy,images/ep_17661/frame_1059228.png,states/ep_17661/state_1059228.npy,actions/ep_17661/action_1059223to1059227.npy
CALVIN,robot,1st,images/ep_4085/frame_247278.png,states/ep_4085/state_247278.npy,images/ep_4085/frame_247283.png,states/ep_4085/state_247283.npy,actions/ep_4085/action_247278to247282.npy
CALVIN,robot,1st,images/ep_1673/frame_100693.png,states/ep_1673/state_100693.npy,images/ep_1673/frame_100698.png,states/ep_1673/state_100698.npy,actions/ep_1673/action_100693to100697.npy
CALVIN,robot,1st,images/ep_17263/frame_1035342.png,states/ep_17263/state_1035342.npy,images/ep_17263/frame_1035347.png,states/ep_17263/state_1035347.npy,actions/ep_17263/action_1035342to1035346.npy
CALVIN,robot,1st,images/ep_14634/frame_877314.png,states/ep_14634/state_877314.npy,images/ep_14634/frame_877319.png,states/ep_14634/state_877319.npy,actions/ep_14634/action_877314to877318.npy
CALVIN,robot,1st,images/ep_9106/frame_546748.png,states/ep_9106/state_546748.npy,images/ep_9106/frame_546753.png,states/ep_9106/state_546753.npy,actions/ep_9106/action_546748to546752.npy
CALVIN,robot,1st,images/ep_17048/frame_1022065.png,states/ep_17048/state_1022065.npy,images/ep_17048/frame_1022070.png,states/ep_17048/state_1022070.npy,actions/ep_17048/action_1022065to1022069.npy
CALVIN,robot,1st,images/ep_16047/frame_961746.png,states/ep_16047/state_961746.npy,images/ep_16047/frame_961751.png,states/ep_16047/state_961751.npy,actions/ep_16047/action_961746to961750.npy
CALVIN,robot,1st,images/ep_16353/frame_980240.png,states/ep_16353/state_980240.npy,images/ep_16353/frame_980245.png,states/ep_16353/state_980245.npy,actions/ep_16353/action_980240to980244.npy
CALVIN,robot,1st,images/ep_2019/frame_121111.png,states/ep_2019/state_121111.npy,images/ep_2019/frame_121116.png,states/ep_2019/state_121116.npy,actions/ep_2019/action_121111to121115.npy
CALVIN,robot,1st,images/ep_3899/frame_236088.png,states/ep_3899/state_236088.npy,images/ep_3899/frame_236093.png,states/ep_3899/state_236093.npy,actions/ep_3899/action_236088to236092.npy
CALVIN,robot,1st,images/ep_5725/frame_343206.png,states/ep_5725/state_343206.npy,images/ep_5725/frame_343211.png,states/ep_5725/state_343211.npy,actions/ep_5725/action_343206to343210.npy
CALVIN,robot,1st,images/ep_12007/frame_718933.png,states/ep_12007/state_718933.npy,images/ep_12007/frame_718938.png,states/ep_12007/state_718938.npy,actions/ep_12007/action_718933to718937.npy
CALVIN,robot,1st,images/ep_9790/frame_587287.png,states/ep_9790/state_587287.npy,images/ep_9790/frame_587292.png,states/ep_9790/state_587292.npy,actions/ep_9790/action_587287to587291.npy
CALVIN,robot,1st,images/ep_16199/frame_970809.png,states/ep_16199/state_970809.npy,images/ep_16199/frame_970814.png,states/ep_16199/state_970814.npy,actions/ep_16199/action_970809to970813.npy
